 dataset_id,id,areas,bathymetry,class,Latitude,Longitude,family,infraphylum,order,parvphylum,phylum,scientificName,shoredistance,subphylum,originalScientificName
c24bf1c2-2c62-4056-a841-56d94e6e876a,5bfe09ed-9aee-443e-acc2-8cd23f571bb8,"[248, 252, 31904]",14,Teleostei,-5.429722309,71.7611084,Acanthuridae,Gnathostomata,Acanthuriformes,Osteichthyes,Chordata,Ctenochaetus truncatus,951,Vertebrata,Ctenochaetus truncatus
c24bf1c2-2c62-4056-a841-56d94e6e876a,d50ee5aa-9476-4485-9e00-deab9a2bd9ee,"[248, 252, 31904]",-3,Teleostei,-5.416666508,71.75,Cirrhitidae,Gnathostomata,Centrarchiformes,Osteichthyes,Chordata,Paracirrhites forsteri,328,Vertebrata,Paracirrhites forsteri
c24bf1c2-2c62-4056-a841-56d94e6e876a,7caf14e4-505d-47de-aafc-3930e85c5e0c,"[218, 219, 10161, 20914, 40030, 31904]",36,Teleostei,-27.5316658,32.6930542,Apogonidae,Gnathostomata,Kurtiformes,Osteichthyes,Chordata,Ostorhinchus apogonoides,1584,Vertebrata,Apogon apogonides
c24bf1c2-2c62-4056-a841-56d94e6e876a,c24b01a7-c390-4ef2-9903-121ebe4680a7,"[248, 252, 31904]",15,Teleostei,-5.426944256,71.75777435,Tetraodontidae,Gnathostomata,Tetraodontiformes,Osteichthyes,Chordata,Canthigaster valentini,538,Vertebrata,Canthigaster valentini
c24bf1c2-2c62-4056-a841-56d94e6e876a,7476bc7c-78a5-4288-b68e-6e03c1aec6e8,"[248, 252, 31904]",27,Teleostei,-5.417778015,71.74833679,Chaetodontidae,Gnathostomata,Acanthuriformes,Osteichthyes,Chordata,Chaetodon lunula,423,Vertebrata,Chaetodon lunula
c24bf1c2-2c62-4056-a841-56d94e6e876a,859cb345-951c-474c-a1a0-9569ef035b66,"[212, 10146, 31904]",27,Teleostei,-4.550000191,55.45000076,Holocentridae,Gnathostomata,Holocentriformes,Osteichthyes,Chordata,Myripristis berndti,1357,Vertebrata,Myripristis berndti
c24bf1c2-2c62-4056-a841-56d94e6e876a,0c19e88e-1604-4a47-9501-581ae2541b40,"[248, 252, 31904]",12,Teleostei,-5.344166756,72.20916748,Gobiidae,Gnathostomata,Gobiiformes,Osteichthyes,Chordata,Trimmatom nanus,563,Vertebrata,Trimmatom nanus
c24bf1c2-2c62-4056-a841-56d94e6e876a,a2db4598-33b8-4e78-a77e-f0e360e51e91,"[248, 252, 31904]",7,Teleostei,-5.339166641,72.21805573,Acanthuridae,Gnathostomata,Acanthuriformes,Osteichthyes,Chordata,Naso brevirostris,126,Vertebrata,Naso brevirostris
c24bf1c2-2c62-4056-a841-56d94e6e876a,d4e0a405-1a9d-47e3-bad2-222b6fdf55de,"[145, 31904]",17,Teleostei,-19.75149918,63.43783188,Pomacentridae,Gnathostomata,Ovalentaria incertae sedis,Osteichthyes,Chordata,Dascyllus aruanus,433,Vertebrata,Dascyllus aruanus
c24bf1c2-2c62-4056-a841-56d94e6e876a,73b5cbbd-3227-41f6-8e86-e9da6a7eb558,"[248, 252, 31904]",20,Teleostei,-5.363333225,72.22805786,Apogonidae,Gnathostomata,Kurtiformes,Osteichthyes,Chordata,Apogon coccineus,858,Vertebrata,Apogon coccineus
c24bf1c2-2c62-4056-a841-56d94e6e876a,94cf29bf-0437-49c4-9da0-6f7231658a7e,"[248, 252, 31904]",23,Teleostei,-5.433610916,71.76361084,Epinephelidae,Gnathostomata,Perciformes,Osteichthyes,Chordata,Epinephelus spilotoceps,1105,Vertebrata,Epinephelus spilotoceps
c24bf1c2-2c62-4056-a841-56d94e6e876a,31b6100b-6458-4d89-85c9-3c73f9a1e374,"[248, 252, 31904]",10,Teleostei,-5.301111221,72.26222229,Labridae,Gnathostomata,Eupercaria incertae sedis,Osteichthyes,Chordata,Halichoeres hortulanus,633,Vertebrata,Halichoeres hortulanus
c24bf1c2-2c62-4056-a841-56d94e6e876a,eaf55d62-5f68-4094-8cae-09b33891cf38,"[248, 252, 31904]",12,Teleostei,-5.344722271,72.20999908,Labridae,Gnathostomata,Eupercaria incertae sedis,Osteichthyes,Chordata,Labroides bicolor,637,Vertebrata,Labroides bicolor
c24bf1c2-2c62-4056-a841-56d94e6e876a,637e9b27-9cd5-4ae0-9aa1-26147103cdb2,"[248, 252, 31904]",15,Teleostei,-5.355000019,72.21138763,Ophichthidae,Gnathostomata,Anguilliformes,Osteichthyes,Chordata,Myrichthys colubrinus,426,Vertebrata,Myrichthys colubrinus
c24bf1c2-2c62-4056-a841-56d94e6e876a,981a6cf3-6b9a-4af5-99fe-614d8e62a197,"[248, 252, 31904]",51,Teleostei,-5.314722061,72.23166656,Labridae,Gnathostomata,Eupercaria incertae sedis,Osteichthyes,Chordata,Pseudocheilinus hexataenia,155,Vertebrata,Pseudocheilinus hexataenia
c24bf1c2-2c62-4056-a841-56d94e6e876a,c73b6842-823f-49c9-8709-669b55ab8c9f,"[248, 252, 31904]",15,Teleostei,-5.43194437,71.7555542,Gobiidae,Gnathostomata,Gobiiformes,Osteichthyes,Chordata,Bathygobius coalitus,542,Vertebrata,Bathygobius coalitus
c24bf1c2-2c62-4056-a841-56d94e6e876a,2f5ad90e-6550-4bfc-a66b-19224058cd21,"[248, 252, 31904]",2,Teleostei,-5.314722061,72.23972321,Chaetodontidae,Gnathostomata,Acanthuriformes,Osteichthyes,Chordata,Chaetodon trifascialis,1045,Vertebrata,Chaetodon trifascialis
