 dataset_id,id,areas,bathymetry,class,Latitude,Longitude,family,infraphylum,order,parvphylum,phylum,scientificName,shoredistance,subphylum,originalScientificName,temperature,salinity,dissolved_oxygen,ph,chlorophyll,ocean_latitude,ocean_longitude,read_count,confidence_score,sequence_length,detection_category,abundance_prediction,data_source,processing_date
c24bf1c2-2c62-4056-a841-56d94e6e876a,5bfe09ed-9aee-443e-acc2-8cd23f571bb8,"[248, 252, 31904]",14,Teleostei,-5.429722309,71.7611084,Acanthuridae,Gnathostomata,Acanthuriformes,Osteichthyes,Chordata,Ctenochaetus truncatus,951,Vertebrata,Ctenochaetus truncatus,,,6.448,8.219,0.467,0.007,60.8,0.0,0.3,0.0,No eDNA Data,Low,Integrated Marine Data,2025-09-19
c24bf1c2-2c62-4056-a841-56d94e6e876a,d50ee5aa-9476-4485-9e00-deab9a2bd9ee,"[248, 252, 31904]",-3,Teleostei,-5.416666508,71.75,Cirrhitidae,Gnathostomata,Centrarchiformes,Osteichthyes,Chordata,Paracirrhites forsteri,328,Vertebrata,Paracirrhites forsteri,28.321,,6.574,8.038,,0.086,69.749,3419.0,0.9550301030591912,633.0,Very High,Medium,Integrated Marine Data,2025-09-19
c24bf1c2-2c62-4056-a841-56d94e6e876a,7caf14e4-505d-47de-aafc-3930e85c5e0c,"[218, 219, 10161, 20914, 40030, 31904]",36,Teleostei,-27.5316658,32.6930542,Apogonidae,Gnathostomata,Kurtiformes,Osteichthyes,Chordata,Ostorhinchus apogonoides,1584,Vertebrata,Apogon apogonides,,,6.693,7.912,0.143,0.263,89.112,0.0,0.3,0.0,No eDNA Data,Low,Integrated Marine Data,2025-09-19
c24bf1c2-2c62-4056-a841-56d94e6e876a,c24b01a7-c390-4ef2-9903-121ebe4680a7,"[248, 252, 31904]",15,Teleostei,-5.426944256,71.75777435,Tetraodontidae,Gnathostomata,Tetraodontiformes,Osteichthyes,Chordata,Canthigaster valentini,538,Vertebrata,Canthigaster valentini,28.854,,6.339,8.181,,0.816,92.894,0.0,0.3,0.0,No eDNA Data,Medium,Integrated Marine Data,2025-09-19
c24bf1c2-2c62-4056-a841-56d94e6e876a,7476bc7c-78a5-4288-b68e-6e03c1aec6e8,"[248, 252, 31904]",27,Teleostei,-5.417778015,71.74833679,Chaetodontidae,Gnathostomata,Acanthuriformes,Osteichthyes,Chordata,Chaetodon lunula,423,Vertebrata,Chaetodon lunula,,33.248,6.113,8.086,,1.779,77.365,5197.0,0.8036948234128684,292.0,Medium,Low,Integrated Marine Data,2025-09-19
c24bf1c2-2c62-4056-a841-56d94e6e876a,859cb345-951c-474c-a1a0-9569ef035b66,"[212, 10146, 31904]",27,Teleostei,-4.550000191,55.45000076,Holocentridae,Gnathostomata,Holocentriformes,Osteichthyes,Chordata,Myripristis berndti,1357,Vertebrata,Myripristis berndti,,35.408,5.661,8.231,,1.833,65.166,0.0,0.3,0.0,No eDNA Data,Low,Integrated Marine Data,2025-09-19
c24bf1c2-2c62-4056-a841-56d94e6e876a,0c19e88e-1604-4a47-9501-581ae2541b40,"[248, 252, 31904]",12,Teleostei,-5.344166756,72.20916748,Gobiidae,Gnathostomata,Gobiiformes,Osteichthyes,Chordata,Trimmatom nanus,563,Vertebrata,Trimmatom nanus,28.914,,6.426,7.921,,1.847,95.086,0.0,0.3,0.0,No eDNA Data,Medium,Integrated Marine Data,2025-09-19
c24bf1c2-2c62-4056-a841-56d94e6e876a,a2db4598-33b8-4e78-a77e-f0e360e51e91,"[248, 252, 31904]",7,Teleostei,-5.339166641,72.21805573,Acanthuridae,Gnathostomata,Acanthuriformes,Osteichthyes,Chordata,Naso brevirostris,126,Vertebrata,Naso brevirostris,,,6.448,8.148,1.139,2.012,82.521,0.0,0.3,0.0,No eDNA Data,Low,Integrated Marine Data,2025-09-19
c24bf1c2-2c62-4056-a841-56d94e6e876a,d4e0a405-1a9d-47e3-bad2-222b6fdf55de,"[145, 31904]",17,Teleostei,-19.75149918,63.43783188,Pomacentridae,Gnathostomata,Ovalentaria incertae sedis,Osteichthyes,Chordata,Dascyllus aruanus,433,Vertebrata,Dascyllus aruanus,31.902,,5.334,8.161,,2.874,85.106,12144.0,0.8747749484061274,629.3333333333334,High,Low,Integrated Marine Data,2025-09-19
c24bf1c2-2c62-4056-a841-56d94e6e876a,73b5cbbd-3227-41f6-8e86-e9da6a7eb558,"[248, 252, 31904]",20,Teleostei,-5.363333225,72.22805786,Apogonidae,Gnathostomata,Kurtiformes,Osteichthyes,Chordata,Apogon coccineus,858,Vertebrata,Apogon coccineus,,34.861,6.744,8.099,,2.999,79.513,0.0,0.3,0.0,No eDNA Data,Low,Integrated Marine Data,2025-09-19
