latitude,longitude,temperature,salinity,chlorophyll,dissolved_oxygen,ph
0.007,60.8,,,0.467,6.448,8.219
0.086,69.749,28.321,,,6.574,8.038
0.263,89.112,,,0.143,6.693,7.912
0.816,92.894,28.854,,,6.339,8.181
1.779,77.365,,33.248,,6.113,8.086
1.833,65.166,,35.408,,5.661,8.231
1.847,95.086,28.914,,,6.426,7.921
2.012,82.521,,,1.139,6.448,8.148
2.874,85.106,31.902,,,5.334,8.161
2.999,79.513,,34.861,,6.744,8.099
3.193,93.885,,,0.707,6.77,8.142
3.198,81.108,,34.611,,6.236,8.086
3.491,91.226,,,1.491,6.478,7.825
3.7,62.503,,33.045,,6.446,7.915
3.815,89.859,,35.291,,6.774,7.91
3.914,64.602,25.124,,,6.495,7.815
3.945,84.692,,33.158,,5.78,7.887
4.409,90.132,,,1.285,5.619,7.966
4.693,75.238,,34.309,,6.667,8.052
4.777,69.766,29.536,,,6.728,8.128
5.022,68.297,,33.473,,6.096,8.133
5.036,76.242,26.001,,,5.739,8.212
5.137,72.38,30.002,,,5.262,8.25
5.243,93.776,,34.887,,6.184,7.944
5.25,65.81,29.741,,,5.931,7.915
5.3,95.703,27.377,,,6.145,8.14
5.545,69.17,30.904,,,4.482,7.835
5.638,72.809,,,1.059,6.772,8.233
5.683,62.039,28.186,,,6.416,8.279
5.944,94.962,,33.57,,5.916,8.15
5.976,78.463,,35.76,,6.85,8.122
6.364,91.477,,33.866,,6.328,7.837
6.472,89.39,,34.334,,6.153,8.152
7.337,68.047,27.32,,,6.654,8.016
8.077,78.931,30.136,,,4.188,7.846
8.215,98.953,,,1.971,5.673,8.069
8.27,70.329,28.181,,,6.388,8.028
8.697,78.378,,,1.817,6.437,8.054
8.962,86.242,31.539,,,5.114,7.826
9.485,61.417,,33.073,,6.509,8.162
9.505,98.158,,35.76,,6.74,8.215
9.507,88.572,,35.392,,5.688,8.158
9.696,73.528,29.228,,,6.472,8.096
9.941,67.837,,,1.068,5.538,7.986
10.021,84.255,28.93,,,5.812,8.271
10.21,60.5,,35.762,,6.967,7.913
11.149,85.221,25.031,,,6.43,8.174
11.285,78.501,31.894,,,5.433,8.044
11.306,72.265,,,1.214,5.63,7.966
11.468,97.816,30.059,,,4.925,8.265
11.482,80.979,26.832,,,5.972,8.233
11.54,78.831,,34.642,,5.658,7.84
11.79,76.982,31.258,,,4.925,8.207
12.064,63.527,,,0.506,6.911,8.052
12.298,74.681,27.857,,,6.691,7.998
12.356,89.145,25.224,,,6.754,8.103
12.499,75.397,,,1.509,5.979,7.878
12.939,97.637,,,1.445,5.856,7.826
13.123,94.673,,35.706,,5.897,8.156
13.22,81.503,25.314,,,5.646,8.124
13.273,82.595,,34.09,,6.323,8.06
13.283,86.23,,,1.207,5.649,7.854
13.289,84.081,,33.937,,6.635,7.842
13.434,63.691,25.024,,,6.181,8.085
13.64,65.645,,,0.79,6.988,8.025
13.996,80.692,,,1.52,6.03,8.273
14.016,69.381,,,0.587,6.516,8.273
14.152,79.729,,35.775,,6.328,8.113
14.155,70.78,,,1.085,5.877,8.255
14.212,71.795,30.68,,,4.547,8.073
14.388,71.907,,33.867,,6.835,7.985
14.508,98.357,25.398,,,6.369,8.298
14.661,79.227,,34.869,,6.274,8.036
14.774,75.3,27.328,,,6.253,8.139
14.883,93.491,26.717,,,5.89,8.292
14.948,76.065,,,1.832,6.753,7.894
15.01,60.375,,,1.03,5.533,7.955
15.469,64.199,,,1.936,6.332,8.016
15.698,63.615,,33.161,,6.754,8.171
15.934,71.026,,35.387,,6.378,8.195
16.092,92.084,,,1.63,6.565,7.912
16.264,95.256,25.226,,,5.602,7.816
16.558,65.197,30.282,,,5.334,8.106
16.638,95.254,,,1.487,6.369,8.233
16.793,61.803,,,1.302,5.839,8.296
16.811,71.99,,35.402,,5.503,7.943
17.022,63.132,,34.33,,6.564,8.013
17.373,66.7,,,0.54,6.42,8.278
17.686,90.825,,,1.228,5.622,7.865
17.782,79.632,,35.158,,6.386,8.21
17.941,64.263,,,0.987,5.949,8.042
18.196,84.065,25.159,,,6.639,8.162
18.338,62.389,,,0.783,5.948,7.868
18.83,64.7,,35.135,,6.101,7.903
18.874,68.087,,35.394,,6.842,8.127
19.011,82.071,,,1.656,6.394,7.829
19.703,87.741,,,0.621,5.719,7.92
19.962,95.929,29.295,,,6.122,8.171
20.841,78.058,,,1.57,6.633,7.875
21.487,73.357,,34.014,,5.901,8.046
21.889,78.425,,,1.394,6.954,8.189
22.007,72.428,,35.765,,6.614,7.965
22.348,80.468,27.791,,,5.923,8.237
22.479,65.229,,,1.842,5.797,8.165
22.583,79.199,,34.361,,6.363,8.133
22.603,81.21,,,0.822,6.419,8.201
23.065,74.662,26.531,,,5.596,8.142
23.32,63.866,,33.462,,6.797,8.267
23.561,80.902,,35.47,,5.771,8.001
23.599,87.329,,,1.823,5.951,8.215
23.828,84.258,,,1.247,6.22,8.077
24.034,84.752,25.147,,,6.659,8.017
24.041,85.646,29.787,,,5.893,8.252
24.094,90.566,,34.516,,6.719,7.881
24.154,79.307,,,1.25,6.655,8.184
24.513,69.472,29.726,,,6.862,8.134
24.736,77.524,28.804,,,5.516,7.9
24.868,61.539,,,0.711,6.718,8.031
25.103,83.1,,35.401,,6.381,8.094
25.116,97.742,,34.34,,6.35,8.011
25.562,75.49,,,0.285,6.835,8.027
25.613,97.915,,,1.424,5.889,8.239
25.827,61.56,,,1.244,6.814,7.84
25.883,68.731,,33.757,,6.322,8.015
25.901,81.341,26.055,,,5.998,8.1
25.95,86.967,27.009,,,6.815,7.929
26.284,83.751,,,1.888,5.986,7.883
26.47,63.126,,,0.766,6.884,7.811
26.655,64.472,,,0.87,6.606,8.011
26.67,74.681,26.231,,,5.712,8.069
26.673,96.809,,,0.156,5.833,7.992
26.673,63.378,,33.473,,6.118,8.214
26.934,85.033,,35.457,,5.797,8.209
27.04,89.369,,34.881,,6.999,8.242
27.22,95.503,,,0.887,6.822,8.032
27.404,85.842,,35.046,,6.633,7.969
27.492,79.064,,35.916,,6.69,8.048
27.653,74.876,30.24,,,4.314,7.871
27.859,88.257,25.859,,,5.986,8.206
28.352,71.102,30.631,,,5.132,8.262
28.371,66.716,29.049,,,6.861,7.908
28.372,99.322,25.788,,,6.612,8.244
28.522,82.962,31.995,,,4.343,8.122
28.837,96.708,,,0.733,6.49,8.211
28.851,86.125,,35.804,,6.385,8.224
29.12,83.949,,34.36,,5.724,7.839
29.23,64.526,,,0.868,6.134,7.989
29.585,98.782,,34.122,,5.822,8.279
29.914,73.436,,33.69,,5.523,7.933
29.925,68.483,,,1.687,5.937,7.906
